fid;Tipo_de_Pr;Estado_201;Proyecto;Empresa;Capacidad;Contrato;Municipio;Departamen;Lat;Long;the_geom;the_geom2
73;5;4;Churune - Presa I;Inversiones Renovables (INVERSA);3;045-2011;31;3;14.5662381;-87.6138711;POINT (-87.6138711 14.5662381);POINT (-87.6138711 14.5662381)
74;5;4;Churune - Presa II;Inversiones Renovables (INVERSA);3;045-2011;31;3;14.5501011;-87.613316;POINT (-87.613316 14.5501011);POINT (-87.613316 14.5501011)
75;5;5;San Alejo;Acqua Futura S.A De C.V;2.2;046-2010;37;3;14.3469438;-87.5355557;POINT (-87.5355557 14.3469438);POINT (-87.5355557 14.3469438)
76;5;6;Sueno II;Sociedad hidroelectrica Enerblu S.A. de C.V.;13.94;049-2010;259;16;14.7799852;-88.3489547;POINT (-88.3489547 14.7799852);POINT (-88.3489547 14.7799852)
77;5;4;El Cisne;Hidroelectrica el Cisne S.A. de C.V.;0.7;049-2011;43;4;15.0483219;-89.1144688;POINT (-89.1144688 15.0483219);POINT (-89.1144688 15.0483219)
78;5;4;Zinguizapa I;Sociedad Mercantil Gutierrez Arevalo Energy, S.A. de C.V.;3.1;Decreto 70-2014;137;8;14.4446323;-87.3673204;POINT (-87.3673204 14.4446323);POINT (-87.3673204 14.4446323)
79;5;5;Blanco/La Puerta Etapa II;Sociedad Mercantil Gutierrez Arevalo Energy, S.A. de C.V.;2.2;051-2010, decreto 370-2013;137;8;14.5070108;-87.4304102;POINT (-87.4304102 14.5070108);POINT (-87.4304102 14.5070108)
80;5;6;Cuaca I;Generaciòn de energia multiple S.A. de C.V.;2;053-2010;17;2;15.2947377;-86.7770844;POINT (-86.7770844 15.2947377);POINT (-86.7770844 15.2947377)
81;5;6;Cuaca II;Generaciòn de energia multiple S.A. de C.V.;5;053-2010;17;2;15.4605543;-86.1422609;POINT (-86.1422609 15.4605543);POINT (-86.1422609 15.4605543)
82;5;6;Cuaca III;Generaciòn de energia multiple S.A. de C.V.;7.5;053-2010;17;2;15.5272042;-86.1031609;POINT (-86.1031609 15.5272042);POINT (-86.1031609 15.5272042)
83;5;4;Rio Quilio I;Compania Fuerza De Occidente (Cofusa);3.9;054-2010;215;14;14.5288407;-89.1355365;POINT (-89.1355365 14.5288407);POINT (-89.1355365 14.5288407)
84;5;4;Cortecito;HIDROCEL S.A. de C.V.;5.3;054-2011;65;5;15.5536417;-88.3200099;POINT (-88.3200099 15.5536417);POINT (-88.3200099 15.5536417)
85;5;4;San Carlos;HIDROCEL S.A. de C.V.;4;055-2011;65;5;15.5605066;-88.305601;POINT (-88.305601 15.5605066);POINT (-88.305601 15.5605066)
86;5;4;Ecoenergia Rio Guineo;SOCIEDAD MERCANTIL ECOENERGIA S.A. DE C.V.;1.4;056-2010;244;15;14.346;-85.8785656;POINT (-85.8785656 14.346);POINT (-85.8785656 14.346)
87;5;5;Hidroelectrico Rio Frio Fase I, Ii Y Iii El Palmar;Sesecapa Energy Company S.A De C.V;3.9;057-2010;225;14;14.4934743;-89.3009435;POINT (-89.3009435 14.4934743);POINT (-89.3009435 14.4934743)
88;5;4;Mezapa;Sociedad  Electrica Mesoamericana  SEMSA;10.5;058-2010;6;1;15.5431934;-87.3513788;POINT (-87.3513788 15.5431934);POINT (-87.3513788 15.5431934)
89;5;6;Santa Elena;CODERESA;3.25;059-2010;55;4;14.9624998;-88.8313887;POINT (-88.8313887 14.9624998);POINT (-88.8313887 14.9624998)
90;5;4;San Juan;Industrias Contempo S.A.;6.6;060-2010;7;1;15.539835;-87.2481319;POINT (-87.2481319 15.539835);POINT (-87.2481319 15.539835)
91;5;6;San Juancito;Industrias Contempo S.A.;2.5;061-2010;7;1;15.5615642;-87.2358657;POINT (-87.2358657 15.5615642);POINT (-87.2358657 15.5615642)
92;5;4;Cuyamapa;Energia y Transmision S.A de C.V ENETRAN;12.4;061-2011;288;18;15.2339401;-87.4979565;POINT (-87.4979565 15.2339401);POINT (-87.4979565 15.2339401)
93;5;4;Morja;Empresa Ingenieria Tecnica S.A. de C.V;8.6;062-2010;48;4;15.0570477;-88.9888795;POINT (-88.9888795 15.0570477);POINT (-88.9888795 15.0570477)
94;5;4;La Gloria;Electrotecnia (La Gloria);6;062-2011;10;2;15.7316193;-86.3562991;POINT (-86.3562991 15.7316193);POINT (-86.3562991 15.7316193)
95;5;6;Agua Blanca;Sociedad Hidroelectrica Agua Blanca S.A,;4.3;063-2010;144;10;14.2197095;-88.1589626;POINT (-88.1589626 14.2197095);POINT (-88.1589626 14.2197095)
96;5;4;Cuyamel;CUYAMEL (COHCUY);7.8;063-2011;65;5;15.6113164;-88.1669522;POINT (-88.1669522 15.6113164);POINT (-88.1669522 15.6113164)
